2026-08-18 14:23:25,961 | INFO     | web_demo.app | Logging initialized. log_dir=D:\AIGC\web_demo\logs
2026-08-18 14:23:25,962 | INFO     | web_demo.app | Application startup. date=2026-08-18 log_dir=D:\AIGC\web_demo\logs
2026-08-18 14:23:25,997 | INFO     | web_demo.app | Prompt tool demo running at http://127.0.0.1:8000
2026-08-18 14:23:47,856 | INFO     | web_demo.http | 127.0.0.1:59803 - "GET /api/comfy/config HTTP/1.1" 200 -
2026-08-18 14:23:47,891 | INFO     | web_demo.job.5de8f68c5fab | Job created. kind=image total=1 log_file=D:\AIGC\web_demo\logs\jobs\5de8f68c5fab.log
2026-08-18 14:23:47,892 | INFO     | web_demo.job.5de8f68c5fab | Starting image prompt job. items=1 output_root=D:\AIGC\web_demo\output\_codex_logging_verify\image
2026-08-18 14:23:47,894 | INFO     | web_demo.job.5de8f68c5fab | Status changed: queued -> running
2026-08-18 14:23:47,894 | INFO     | web_demo.http | 127.0.0.1:59804 - "POST /api/generate/image-prompt HTTP/1.1" 202 -
2026-08-18 14:23:47,897 | INFO     | web_demo.job.5de8f68c5fab | Processing: log_demo.png
2026-08-18 14:23:47,901 | INFO     | web_demo.job.5de8f68c5fab | Saved: log_demo.prompt.json / log_demo.prompt.txt
2026-08-18 14:23:47,905 | INFO     | web_demo.job.5de8f68c5fab | Status changed: running -> completed
2026-08-18 14:23:47,905 | INFO     | web_demo.job.5de8f68c5fab | Output directory: D:\AIGC\web_demo\output\_codex_logging_verify\image\20260818_142347_895
2026-08-18 14:23:47,906 | INFO     | web_demo.job.5de8f68c5fab | Done. Output: D:\AIGC\web_demo\output\_codex_logging_verify\image\20260818_142347_895
2026-08-18 14:23:50,264 | INFO     | web_demo.http | 127.0.0.1:50693 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:24:43,926 | INFO     | web_demo.app | Logging initialized. log_dir=D:\AIGC\web_demo\logs
2026-08-18 14:24:43,926 | INFO     | web_demo.app | Application startup. date=2026-08-18 log_dir=D:\AIGC\web_demo\logs
2026-08-18 14:24:43,962 | INFO     | web_demo.app | Prompt tool demo running at http://127.0.0.1:8000
2026-08-18 14:25:05,972 | INFO     | web_demo.job.de8238ddc488 | Job created. kind=image total=1 log_file=D:\AIGC\web_demo\logs\jobs\de8238ddc488.log
2026-08-18 14:25:05,974 | INFO     | web_demo.job.de8238ddc488 | Starting image prompt job. items=1 output_root=D:\AIGC\web_demo\output\_codex_logging_verify\error_case
2026-08-18 14:25:05,976 | INFO     | web_demo.job.de8238ddc488 | Status changed: queued -> running
2026-08-18 14:25:05,977 | INFO     | web_demo.http | 127.0.0.1:63254 - "POST /api/generate/image-prompt HTTP/1.1" 202 -
2026-08-18 14:25:05,980 | INFO     | web_demo.job.de8238ddc488 | Status changed: running -> failed
2026-08-18 14:25:05,980 | ERROR    | web_demo.job.de8238ddc488 | Job error: 'name'
2026-08-18 14:25:05,982 | ERROR    | web_demo.job.de8238ddc488 | Job worker crashed.
Traceback (most recent call last):
  File "D:\AIGC\web_demo\backend\app\main.py", line 340, in worker
    result = runner(job)
             ^^^^^^^^^^^
  File "D:\AIGC\web_demo\backend\app\main.py", line 379, in runner
    return run_image_generation(
           ^^^^^^^^^^^^^^^^^^^^^
  File "D:\AIGC\web_demo\backend\app\services\prompt_generator.py", line 176, in run_image_generation
    name = image["name"]
           ~~~~~^^^^^^^^
KeyError: 'name'
2026-08-18 14:25:05,985 | ERROR    | web_demo.job.de8238ddc488 | Failed: 'name'
2026-08-18 14:26:27,867 | INFO     | web_demo.app | Logging initialized. log_dir=D:\AIGC\web_demo\logs
2026-08-18 14:26:27,868 | INFO     | web_demo.app | Application startup. date=2026-08-18 log_dir=D:\AIGC\web_demo\logs
2026-08-18 14:26:27,901 | INFO     | web_demo.app | Prompt tool demo running at http://127.0.0.1:8000
2026-08-18 14:26:28,312 | INFO     | web_demo.http | 127.0.0.1:58831 - "GET / HTTP/1.1" 200 -
2026-08-18 14:26:28,603 | INFO     | web_demo.http | 127.0.0.1:58273 - "GET / HTTP/1.1" 200 -
2026-08-18 14:26:28,624 | INFO     | web_demo.http | 127.0.0.1:63816 - "GET /style.css HTTP/1.1" 200 -
2026-08-18 14:26:28,625 | INFO     | web_demo.http | 127.0.0.1:53395 - "GET /app.js HTTP/1.1" 200 -
2026-08-18 14:26:28,648 | INFO     | web_demo.http | 127.0.0.1:59898 - "POST /api/browser-session/register HTTP/1.1" 200 -
2026-08-18 14:26:28,771 | INFO     | web_demo.http | 127.0.0.1:54211 - "GET /api/clip/presets HTTP/1.1" 200 -
2026-08-18 14:26:28,800 | INFO     | web_demo.http | 127.0.0.1:65495 - "GET /api/config HTTP/1.1" 200 -
2026-08-18 14:26:28,809 | INFO     | web_demo.http | 127.0.0.1:65511 - "GET /api/prompt-config/image HTTP/1.1" 200 -
2026-08-18 14:26:28,817 | INFO     | web_demo.http | 127.0.0.1:52662 - "GET /api/prompt-config/image_edit HTTP/1.1" 200 -
2026-08-18 14:26:28,822 | INFO     | web_demo.http | 127.0.0.1:56230 - "GET /api/prompt-config/video HTTP/1.1" 200 -
2026-08-18 14:26:28,827 | INFO     | web_demo.http | 127.0.0.1:64005 - "GET /api/comfy/config HTTP/1.1" 200 -
2026-08-18 14:26:28,838 | INFO     | web_demo.http | 127.0.0.1:53653 - "GET /api/comfy/templates HTTP/1.1" 200 -
2026-08-18 14:26:33,749 | INFO     | web_demo.http | 127.0.0.1:60146 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:26:38,766 | INFO     | web_demo.http | 127.0.0.1:50750 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:26:39,047 | INFO     | web_demo.http | 127.0.0.1:63961 - "GET /api/comfy/templates HTTP/1.1" 200 -
2026-08-18 14:26:39,305 | INFO     | web_demo.http | 127.0.0.1:52864 - "GET /api/comfy/templates HTTP/1.1" 200 -
2026-08-18 14:26:43,756 | INFO     | web_demo.http | 127.0.0.1:61410 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:26:48,751 | INFO     | web_demo.http | 127.0.0.1:61627 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:26:53,756 | INFO     | web_demo.http | 127.0.0.1:53681 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:26:58,752 | INFO     | web_demo.http | 127.0.0.1:65368 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:27:03,765 | INFO     | web_demo.http | 127.0.0.1:62412 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:27:09,271 | INFO     | web_demo.http | 127.0.0.1:60405 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:27:14,263 | INFO     | web_demo.http | 127.0.0.1:57073 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:27:19,263 | INFO     | web_demo.http | 127.0.0.1:65367 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:27:24,272 | INFO     | web_demo.http | 127.0.0.1:65367 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
2026-08-18 14:27:29,266 | INFO     | web_demo.http | 127.0.0.1:49976 - "POST /api/browser-session/heartbeat HTTP/1.1" 200 -
